Product,Created_at,UF,Unit,volume,year_month
ETANOL HIDRATADO (m3),2000,GOIÁS,m3,16683.495,2000-01-01
ETANOL HIDRATADO (m3),2000,DISTRITO FEDERAL,m3,11687.93,2000-01-01
GLP (m3),2000,RONDÔNIA,m3,5447.454545454545,2000-01-01
GLP (m3),2000,ACRE,m3,1959.3036363636363,2000-01-01
GLP (m3),2000,AMAZONAS,m3,9142.650909090908,2000-01-01
GLP (m3),2000,RORAIMA,m3,1210.6236363636363,2000-01-01
GLP (m3),2000,PARÁ,m3,21712.783636363634,2000-01-01
GLP (m3),2000,AMAPÁ,m3,1854.269090909091,2000-01-01
GLP (m3),2000,TOCANTINS,m3,6119.783636363636,2000-01-01
GLP (m3),2000,MARANHÃO,m3,15488.87818181818,2000-01-01
GLP (m3),2000,PIAUÍ,m3,10749.66727272727,2000-01-01
GLP (m3),2000,CEARÁ,m3,31041.60727272727,2000-01-01
GLP (m3),2000,RIO GRANDE DO NORTE,m3,14917.86,2000-01-01
GLP (m3),2000,PARAÍBA,m3,15732.841818181816,2000-01-01
GLP (m3),2000,PERNAMBUCO,m3,37943.789090909086,2000-01-01
GLP (m3),2000,ALAGOAS,m3,12319.618181818181,2000-01-01
GLP (m3),2000,SERGIPE,m3,7417.0654545454545,2000-01-01
GLP (m3),2000,BAHIA,m3,57120.86909090909,2000-01-01
GLP (m3),2000,MINAS GERAIS,m3,99925.49272727272,2000-01-01
GLP (m3),2000,ESPÍRITO SANTO,m3,17325.22,2000-01-01
GLP (m3),2000,RIO DE JANEIRO,m3,70297.98909090908,2000-01-01
GLP (m3),2000,SÃO PAULO,m3,268908.2309090909,2000-01-01
GLP (m3),2000,PARANÁ,m3,55933.8,2000-01-01
GLP (m3),2000,SANTA CATARINA,m3,55996.929090909085,2000-01-01
GLP (m3),2000,RIO GRANDE DO SUL,m3,60336.34727272727,2000-01-01
GLP (m3),2000,MATO GROSSO DO SUL,m3,11492.645454545453,2000-01-01
GLP (m3),2000,MATO GROSSO,m3,11961.225454545453,2000-01-01
GLP (m3),2000,GOIÁS,m3,37029.170909090906,2000-01-01
GLP (m3),2000,DISTRITO FEDERAL,m3,10696.416363636363,2000-01-01
GASOLINA C (m3),2001,RONDÔNIA,m3,10440.37,2001-01-01
